,Comment,sentiment
0,"['rip', 'fr', 'stan', 'swamy']",0.0
1,"['india', 'great', 'n', 'shiningheartless', 'dirty', 'fellow', 'n', 'system', 'kill', 'innocent', 'man', 'may', 'u', 'rip', 'oh', 'fr', 'stan', 'swamy']",-0.2732
2,"['href', 'request', 'need', 'straw', 'drink', 'water', 'court', 'take', 'week', 'grantand', 'jail', 'inmate', 'manage', 'get', 'mobile', 'amp', 'pistol', 'plot', 'execute', 'murder', 'whilesitting', 'jailwoow', 'judiciary', 'amp', 'jail', 'system']",-0.6908
3,['rip'],0.0
4,"['need', 'justice', 'deathwhere', 'humanityalmost', 'vey', 'old', 'police', 'people', 'torture', 'unethical']",-0.5859
5,"['hate', 'hell', 'bjp']",-0.8519
6,"['news', 'bullshit', 'father', 'burtally', 'torch', 'jail']",-0.5859
7,"['ab', 'khali', 'bolke', 'kya', 'hoga', 'tab', 'koi', 'nahi', 'aaya', 'unki', 'madat', 'ke', 'liye', 'desai', 'ne', 'suddha', 'kadhi', 'ha', 'prashna', 'uchhala', 'hota', 'ka', 'ata', 'boltoy']",0.34
8,"['fr', 'stan', 'swamy', 'death', 'land', 'acquire', 'rich', 'corporation', 'ambanis', 'take', 'country', 'tribals', 'nothing', 'education', 'food', 'depend', 'mother', 'nature', 'sad', 'lashwadeep', 'destroy', 'bjp', 'government']",-0.7845
9,"['worry', 'indigenous', 'people', 'childrenwho', 'loot', 'throw', 'away', 'city', 'work', 'toilet', 'cleaner', 'corporates', 'sewage', 'workhow', 'cope', 'wicked', 'educate', 'world']",-0.6808
10,"['weak', 'thing', 'capacity', 'say', 'good', 'good']",0.4404
11,"['every', 'good', 'work', 'repay', 'evil', 'give', 'back', 'full', 'every', 'one', 'give', 'account', 'earth', 'well', 'eternally']",-0.1027
12,"['stand', 'people', 'treat', 'like', 'countryy', 'request', 'one', 'sipper', 'bottle', 'court', 'take', 'day', 'give', 'beautyfull', 'system', 'yarr']",0.6369
13,"['deeply', 'pain', 'way', 'old', 'man', 'kill', 'treat', 'last', 'day']",-0.7645
14,"['bjp', 'chutia', 'hii']",0.0
15,"['vaise', 'pehle', 'vetican', 'se', 'pooch', 'ker', 'peta', 'kero', 'ki', 'kya', 'ek', 'vyakti', 'ek', 'saath', 'swaami', 'aur', 'father', 'rehsekta', 'hai', 'kyaagar', 'veh', 'mana', 'kerere', 'case', 'ko', 'bend', 'ker', 'vestige', 'time', 'money', 'indian', 'citizenreligious', 'fraudulentnothing', 'else']",0.0
16,"['crocodile', 'tear', 'care', 'much', 'quiet', 'palghar', 'sadhu', 'conversion', 'money', 'speak']",0.4939
17,"['sirdesai', 'must', 'ask', 'foreigner', 'involve', 'yr', 'year', 'promote', 'finance', 'india', 'foreign', 'fund', 'maoist', 'communist', 'naxalite', 'conversion', 'divisive', 'politics', 'one', 'side', 'story', 'doesnot', 'make', 'neutral', 'channel']",0.3818
18,"['always', 'think', 'live', 'great', 'country', 'democratic', 'value', 'uphold']",0.7579
19,"['speak', 'voice', 'alive']",0.3818
20,"['abe', 'ye', 'esai', 'tribal', 'activist', 'kaisa', 'tribal', 'se', 'eska', 'kya', 'samband', 'deshke', 'logonko', 'chutya', 'banana', 'band', 'karo']",0.0
21,"['rip', 'fatherthank', 'poor', 'countrymay', 'human', 'like', 'bear']",-0.1531
22,"['support', 'fr', 'swamy']",0.4019
23,"['work', 'towards', 'beatification', 'late', 'father', 'stan', 'swamy', 'finally', 'sainthood', 'may', 'bestow', 'quotsaint', 'tribals', 'amp', 'government', 'atrocity']",0.0
24,"['god', 'punish', 'bjp', 'politician']",-0.3182
25,"['dont', 'know', 'background', 'case', 'shame', 'government', 'accuse', 'old', 'man', 'terrorism', 'charge', 'prisoned', 'without', 'give', 'basic', 'madical', 'requirement', 'shame', 'modi']",-0.9118
26,"['judge', 'wronglygod', 'judge']",0.0
27,"['fr', 'stand', 'kind', 'hearted', 'parson', 'soul', 'rich', 'heaven', 'may', 'god', 'grand', 'eternel', 'peace', 'amen']",0.9578
28,"['medium', 'people', 'stand', 'justice', 'ft', 'stan', 'swamy', 'assassinate']",0.5267
29,"['rajdeep', 'question', 'whether', 'state', 'sponsor', 'murder', 'absolutely', 'cause', 'narendra', 'modi', 'doesnt', 'like', 'critic', 'opposer', 'idiotic', 'policy']",-0.8623
30,"['happen', 'countrywhat', 'happen', 'judiciarythe', 'rulerspolice', 'civil', 'authority', 'fail', 'god', 'save', 'nation']",0.2732
31,"['hero', 'doctor', 'diagnose', 'traitor', 'inhuman', 'immmature']",0.5574
32,"['thank', 'ndtv', 'cover', 'issue', 'although', 'damage', 'do', 'already', 'channel', 'even', 'interest']",0.3182
33,"['congrats', 'mr', 'rajdeep', 'well', 'come', 'back', 'democracy', 'good', 'presentation', 'least', 'death', 'human', 'right', 'democracy', 'amp', 'mr', 'stan', 'swamy', 'thank']",0.9193
34,"['use', 'speak', 'christian', 'many', 'people', 'know', 'murder', 'government', 'injustice', 'do', 'holy', 'priest', 'salute', 'father', 'stan', 'may', 'soul', 'rest', 'peace']",-0.7096
35,"['mind', 'beg', 'questionhitler', 'govts', 'sinister', 'amp', 'terroristspower', 'corruptmust', 'watchful', 'peoplegovt']",-0.5994
36,"['mind', 'beg', 'questiona', 'govt', 'build', 'concentration', 'campsa', 'parliament', 'approve', 'totalitarian', 'lawswhat', 'condition', 'need', 'metto', 'establish', 'pmgovt', 'fascistnazi']",-0.4767
37,"['bjp', 'play', 'big', 'game', 'india', 'court', 'work', 'bjp']",0.34
38,"['gandhi', 'die']",-0.5994
39,"['gandhi', 'die']",-0.5994
40,"['country', 'people', 'provide', 'biriany', 'people', 'kill', 'many', 'people', 'provide', 'single', 'sipper', 'good', 'human', 'stan', 'swamy']",-0.4215
41,"['long', 'narendra', 'modi', 'pm', 'country', 'christian', 'safe']",0.4404
42,"['invite', 'curse', 'pay', 'price']",-0.5106
43,"['telecast', 'death', 'murder', 'like', 'upa', 'prisoner']",-0.891
44,"['rest', 'peace', 'father']",0.5423
45,"['shame', 'indian', 'judiciary', 'kill', 'innocent', 'man', 'people', 'responsible', 'fr', 'stan', 'death', 'burn', 'hell', 'surround', 'demon', 'cry', 'nobody', 'hear', 'punishment']",-0.9633
46,"['nomadic', 'treatment', 'fr', 'stan', 'swamy']",0.0
47,"['racism', 'communalism', 'country', 'still', 'exist']",-0.6249
48,"['three', 'leader', 'go', 'relax', 'social', 'worker', 'poor', 'sacrifice', 'life', 'without', 'marriage', 'luxury', 'wage', 'brutally', 'murder', 'nia', 'judiciary', 'instead', 'shrine', 'president', 'medalsdid', 'modi', 'close', 'ear', 'eye', 'satisfy', 'thirst', 'fix', 'punish']",-0.8834
49,"['thank', 'india', 'today', 'channel', 'bring', 'true', 'news', 'people', 'nation', 'injustice', 'do', 'fr', 'stan', 'swamy', 'authority', 'responsible', 'wion', 'channel', 'give', 'wrong', 'news', 'say', 'provide', 'facility', 'thank', 'open', 'eye', 'people', 'give', 'true', 'news', 'get', 'scar', 'powerful', 'demolish', 'democracy', 'country']",0.802
50,"['pray', 'martyr', 'fr', 'jam', 'kottayil', 'sj', 'nawatnr', 'parish', 'ranchi', 'dioeces', 'th', 'july', 'st', 'john', 'baptist', 'church', 'thuruthipally', 'pala', 'dioeces', 'kerala', 'india']",0.3182
51,"['rajdip', 'say', 'evidence', 'sketchy', 'judiciary', 'give', 'stens', 'bail']",0.0
52,"['kya', 'stens', 'swami', 'rajdip', 'sardesai', 'ke', 'father', 'rip']",0.0
53,"['could', 'kill', 'jesus', 'innocent', 'man']",-0.5106
54,"['rajdeep', 'sardesai', 'glad', 'soul', 'get', 'sell', 'time', 'happen', 'ssr', 'case', 'earliermay', 'god', 'enlighten', 'give', 'courage', 'speak', 'truth', 'justice', 'god', 'bless']",0.9648
55,"['shameful', 'even', 'criminal', 'give', 'treatment', 'even', 'kasab', 'give', 'good', 'treatment', 'prison']",-0.7906
56,"['involve', 'arrest', 'imprison', 'deny', 'bail', 'unjustly', 'accuse', 'father', 'stan', 'swamy', 'one', 'day', 'face', 'true', 'justice', 'lord', 'master']",0.1531
57,"['jesuit', 'get', 'involve', 'jesus', 'say', 'give', 'god', 'ceasar']",0.2732
58,"['god', 'godo', 'god']",0.4939
59,"['nationwide', 'protest', 'need', 'observe']",-0.25
